id,country_id,firstname,lastname,fullname,image_path,dateofbirth,gender,battingstyle,bowlingstyle,position,updated_at
46,153732,Virat,Kohli,Virat Kohli,https://cdn.sportmonks.com/images/cricket/players/14/46.png,1988-11-05,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2023-03-22T10:36:41.000000Z
47,153732,Lokesh,Rahul,Lokesh Rahul,https://cdn.sportmonks.com/images/cricket/players/15/47.png,1992-04-18,m,right-hand-bat,,"{'resource': 'positions', 'id': 3, 'name': 'Wicketkeeper'}",2020-04-04T05:07:39.000000Z
48,153732,Prithvi,Shaw,Prithvi Shaw,https://cdn.sportmonks.com/images/cricket/players/16/48.png,1999-11-09,m,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2020-04-06T06:29:32.000000Z
49,153732,Mayank,Agarwal,Mayank Agarwal,https://cdn.sportmonks.com/images/cricket/players/17/49.png,1991-02-16,m,right-hand-bat,,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2020-03-31T11:40:37.000000Z
50,153732,Cheteshwar,Pujara,Cheteshwar Pujara,https://cdn.sportmonks.com/images/cricket/players/18/50.png,1988-01-25,m,right-hand-bat,legbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2020-03-31T12:22:31.000000Z
51,153732,Ajinkya,Rahane,Ajinkya Rahane,https://cdn.sportmonks.com/images/cricket/players/19/51.png,1988-06-06,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2023-03-23T15:21:44.000000Z
52,153732,Hanuma,Vihari,Hanuma Vihari,https://cdn.sportmonks.com/images/cricket/players/20/52.png,1993-10-13,m,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 4, 'name': 'Allrounder'}",2020-03-31T12:19:25.000000Z
53,153732,Rishabh,Pant,Rishabh Pant,https://cdn.sportmonks.com/images/cricket/players/21/53.png,1997-10-04,m,left-hand-bat,,"{'resource': 'positions', 'id': 3, 'name': 'Wicketkeeper'}",2020-09-17T15:11:33.000000Z
54,153732,Ravichandran,Ashwin,Ravichandran Ashwin,https://cdn.sportmonks.com/images/cricket/players/22/54.png,1986-09-17,m,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 11, 'name': 'Bowling Allrounder'}",2023-03-16T10:16:36.000000Z
55,153732,Ravindra,Jadeja,Ravindra Jadeja,https://cdn.sportmonks.com/images/cricket/players/23/55.png,1988-12-06,m,left-hand-bat,slow-left-arm-orthodox,"{'resource': 'positions', 'id': 4, 'name': 'Allrounder'}",2023-03-25T20:10:12.000000Z
56,153732,Kuldeep,Yadav,Kuldeep Yadav,https://cdn.sportmonks.com/images/cricket/players/24/56.png,1994-12-14,m,left-hand-bat,left-arm-chinaman,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-09-22T15:03:25.000000Z
57,153732,Mohammed,Shami,Mohammed Shami,https://cdn.sportmonks.com/images/cricket/players/25/57.png,1990-09-03,m,right-hand-bat,right-arm-fast,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-03-31T12:22:11.000000Z
58,153732,Umesh,Yadav,Umesh Yadav,https://cdn.sportmonks.com/images/cricket/players/26/58.png,1987-10-25,m,right-hand-bat,right-arm-fast,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-03-31T12:23:51.000000Z
59,153732,Mohammed,Siraj,Mohammed Siraj,https://cdn.sportmonks.com/images/cricket/players/27/59.png,1994-03-13,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-05T07:39:51.000000Z
60,153732,Shardul,Thakur,Shardul Thakur,https://cdn.sportmonks.com/images/cricket/players/28/60.png,1991-10-16,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-03-31T12:23:31.000000Z
273,153732,Yuzvendra,Chahal,Yuzvendra Chahal,https://cdn.sportmonks.com/images/cricket/players/17/273.png,1990-07-23,m,right-hand-bat,legbreak-googly,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-09T05:24:03.000000Z
274,153732,Mahendra Singh,Dhoni,Mahendra Singh Dhoni,https://cdn.sportmonks.com/images/cricket/players/18/274.png,1981-07-07,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 3, 'name': 'Wicketkeeper'}",2020-04-04T05:48:03.000000Z
275,153732,Dinesh,Karthik,Dinesh Karthik,https://cdn.sportmonks.com/images/cricket/players/19/275.png,1985-06-01,m,right-hand-bat,,"{'resource': 'positions', 'id': 3, 'name': 'Wicketkeeper'}",2020-04-01T16:33:10.000000Z
276,153732,Manish,Pandey,Manish Pandey,https://cdn.sportmonks.com/images/cricket/players/20/276.png,1989-09-10,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2023-03-23T15:39:19.000000Z
277,153732,Suresh,Raina,Suresh Raina,https://cdn.sportmonks.com/images/cricket/players/21/277.png,1986-11-27,m,left-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2020-04-08T05:49:53.000000Z
278,153732,Rohit,Sharma,Rohit Sharma,https://cdn.sportmonks.com/images/cricket/players/22/278.png,1987-04-30,m,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2023-03-22T10:37:02.000000Z
279,153732,Deepak,Chahar,Deepak Chahar,https://cdn.sportmonks.com/images/cricket/players/23/279.png,1992-08-07,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-03-31T12:20:23.000000Z
280,153732,Bhuvneshwar,Kumar,Bhuvneshwar Kumar,https://cdn.sportmonks.com/images/cricket/players/24/280.png,1990-02-05,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-01T03:28:15.000000Z
281,153732,Hardik,Pandya,Hardik Pandya,https://cdn.sportmonks.com/images/cricket/players/25/281.png,1993-10-11,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 4, 'name': 'Allrounder'}",2020-04-02T07:27:22.000000Z
282,153732,Ambati,Rayudu,Ambati Rayudu,https://cdn.sportmonks.com/images/cricket/players/26/282.png,1985-09-23,m,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2023-03-23T15:21:37.000000Z
283,153732,Murali,Vijay,Murali Vijay,https://cdn.sportmonks.com/images/cricket/players/27/283.png,1984-04-01,m,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2020-04-05T18:03:52.000000Z
284,153732,Jasprit,Bumrah,Jasprit Bumrah,https://cdn.sportmonks.com/images/cricket/players/28/284.png,1993-12-06,m,right-hand-bat,right-arm-fast,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-03-31T11:40:57.000000Z
285,153732,Shikhar,Dhawan,Shikhar Dhawan,https://cdn.sportmonks.com/images/cricket/players/29/285.png,1985-12-05,m,left-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2020-03-31T11:41:28.000000Z
286,153732,Kedar,Jadhav,Kedar Jadhav,https://cdn.sportmonks.com/images/cricket/players/30/286.png,1985-03-26,m,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 4, 'name': 'Allrounder'}",2021-04-25T09:30:42.000000Z
288,153732,Ishant,Sharma,Ishant Sharma,https://cdn.sportmonks.com/images/cricket/players/0/288.png,1988-09-02,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-03-31T12:23:08.000000Z
322,153732,Khaleel,Ahmed,Khaleel Ahmed,https://cdn.sportmonks.com/images/cricket/players/2/322.png,1997-12-05,m,right-hand-bat,left-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-09-18T10:14:07.000000Z
465,153732,Harmanpreet,Kaur,Harmanpreet Kaur,https://cdn.sportmonks.com/images/cricket/players/17/465.png,1989-03-08,f,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 4, 'name': 'Allrounder'}",2023-03-17T18:02:34.000000Z
466,153732,Smriti,Mandhana,Smriti Mandhana,https://cdn.sportmonks.com/images/cricket/players/18/466.png,1996-07-18,f,left-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2024-01-05T16:50:09.000000Z
467,153732,Mithali,Raj,Mithali Raj,https://cdn.sportmonks.com/images/cricket/players/19/467.png,1982-12-03,f,right-hand-bat,legbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2020-04-05T05:59:27.000000Z
468,153732,Jemimah,Rodrigues,Jemimah Rodrigues,https://cdn.sportmonks.com/images/cricket/players/20/468.png,2000-09-05,f,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2024-01-05T16:51:44.000000Z
469,153732,Veda,Krishnamurthy,Veda Krishnamurthy,https://cdn.sportmonks.com/images/cricket/players/21/469.png,1992-10-16,f,right-hand-bat,legbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2020-04-09T04:35:37.000000Z
470,153732,Deepti,Sharma,Deepti Sharma,https://cdn.sportmonks.com/images/cricket/players/22/470.png,1997-08-24,f,left-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 4, 'name': 'Allrounder'}",2020-04-01T14:31:01.000000Z
471,153732,Taniya,Bhatia,Taniya Bhatia,https://cdn.sportmonks.com/images/cricket/players/23/471.png,1997-11-28,f,right-hand-bat,,"{'resource': 'positions', 'id': 3, 'name': 'Wicketkeeper'}",2020-04-08T07:35:24.000000Z
472,153732,Poonam,Yadav,Poonam Yadav,https://cdn.sportmonks.com/images/cricket/players/24/472.png,1991-08-24,f,right-hand-bat,legbreak-googly,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-06T06:13:36.000000Z
473,153732,Radha,Yadav,Radha Yadav,https://cdn.sportmonks.com/images/cricket/players/25/473.png,2000-04-21,f,right-hand-bat,slow-left-arm-orthodox,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2023-03-17T17:48:13.000000Z
474,153732,Anuja,Patil,Anuja Patil,https://cdn.sportmonks.com/images/cricket/players/26/474.png,1992-06-28,f,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-11-04T11:50:47.000000Z
475,153732,Ekta,Bisht,Ekta Bisht,https://cdn.sportmonks.com/images/cricket/players/27/475.png,1986-02-08,f,left-hand-bat,slow-left-arm-orthodox,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-02T01:47:42.000000Z
476,153732,Dayalan,Hemalatha,Dayalan Hemalatha,https://cdn.sportmonks.com/images/cricket/players/28/476.png,1994-09-29,f,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-01T14:25:30.000000Z
477,153732,Mansi,Joshi,Mansi Joshi,https://cdn.sportmonks.com/images/cricket/players/29/477.png,1993-08-18,f,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-04T06:19:01.000000Z
478,153732,Pooja,Vastrakar,Pooja Vastrakar,https://cdn.sportmonks.com/images/cricket/players/30/478.png,1999-09-25,f,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-06T06:13:20.000000Z
479,153732,Arundhati,Reddy,Arundhati Reddy,https://cdn.sportmonks.com/images/cricket/players/31/479.png,1997-10-04,f,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-11-04T11:51:07.000000Z
815,153732,Axar,Patel,Axar Patel,https://cdn.sportmonks.com/images/cricket/players/15/815.png,1994-01-20,m,left-hand-bat,slow-left-arm-orthodox,"{'resource': 'positions', 'id': 4, 'name': 'Allrounder'}",2023-05-02T14:14:43.000000Z
869,153732,Siddarth,Kaul,Siddarth Kaul,https://cdn.sportmonks.com/images/cricket/players/5/869.png,1990-05-19,m,right-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-08T04:25:18.000000Z
1211,153732,Washington,Sundar,Washington Sundar,https://cdn.sportmonks.com/images/cricket/players/27/1211.png,1999-10-05,m,left-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 11, 'name': 'Bowling Allrounder'}",2023-03-16T09:46:43.000000Z
1724,153732,Rahul,Dravid,Rahul Dravid,https://cdn.sportmonks.com/images/cricket/players/28/1724.png,1973-01-11,m,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2020-04-06T06:46:07.000000Z
1727,153732,Yuvraj,Singh,Yuvraj Singh,https://cdn.sportmonks.com/images/cricket/players/31/1727.png,1981-12-12,m,left-hand-bat,slow-left-arm-orthodox,"{'resource': 'positions', 'id': 4, 'name': 'Allrounder'}",2020-04-09T05:23:48.000000Z
1730,153732,Ajit,Agarkar,Ajit Agarkar,https://cdn.sportmonks.com/images/cricket/players/2/1730.png,1977-12-04,m,right-hand-bat,right-arm-fast,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-03-31T07:22:55.000000Z
1733,153732,Sourav,Ganguly,Sourav Ganguly,https://cdn.sportmonks.com/images/cricket/players/5/1733.png,1972-07-08,m,left-hand-bat,right-arm-fast-medium,"{'resource': 'positions', 'id': 1, 'name': 'Batsman'}",2020-04-08T04:45:08.000000Z
1736,153732,Harbhajan,Singh,Harbhajan Singh,https://cdn.sportmonks.com/images/cricket/players/8/1736.png,1980-07-03,m,right-hand-bat,right-arm-offbreak,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-02T07:27:01.000000Z
1739,153732,Zaheer,Khan,Zaheer Khan,https://cdn.sportmonks.com/images/cricket/players/11/1739.png,1978-10-07,m,right-hand-bat,left-arm-fast-medium,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-04-09T05:25:53.000000Z
1742,153732,Anil,Kumble,Anil Kumble,https://cdn.sportmonks.com/images/cricket/players/14/1742.png,1970-10-17,m,right-hand-bat,legbreak-googly,"{'resource': 'positions', 'id': 2, 'name': 'Bowler'}",2020-03-31T12:46:54.000000Z
